Technique,Count,Percentage
XSS Keyword (heuristic),1957,19.57%
SQLI Keyword (heuristic),640,6.40%
Double URL Encode,539,5.39%
Triple URL Encode,503,5.03%
XSS - Unclassified (manual refine),118,1.18%
SQLI - Unclassified (manual refine),98,0.98%
Triple URL Encode XSS (heuristic),47,0.47%
SQLI - Path Traversal / File Inclusion (Manual Refine),45,0.45%
Double URL Encode XSS (manual refine),20,0.20%
XSS Reflected (Generated),16,0.16%
Triple URL_adv_obf,15,0.15%
Double URL Encode_adv_obf,15,0.15%
Triple URL Encode_adv_obf,15,0.15%
obf_whitespace_url+obf_case_random+obf_double_url_encode_adv_obf,15,0.15%
obf_whitespace_url+obf_double_url_encode_adv_obf,14,0.14%
obf_double_url_encode+obf_case_random_adv_obf,14,0.14%
obf_url_encode+obf_double_url_encode+obf_case_random_adv_obf,14,0.14%
obf_case_random+obf_double_url_encode_adv_obf,14,0.14%
obf_double_url_encode+obf_url_encode+obf_case_random_adv_obf,14,0.14%
obf_case_random+obf_double_url_encode+obf_whitespace_url_adv_obf,14,0.14%
obf_double_url_encode+obf_whitespace_url+obf_case_random_adv_obf,14,0.14%
Double URL_adv_obf,13,0.13%
obf_url_encode+obf_case_random+obf_double_url_encode_adv_obf,13,0.13%
obf_case_random+obf_whitespace_url+obf_double_url_encode_adv_obf,13,0.13%
obf_double_url_encode+obf_whitespace_url+obf_comment_sql_full_bypass,12,0.12%
Direct JS Call XSS (manual refine)_non_script_xss,12,0.12%
Unicode Homoglyph Homoglyph( -> ),12,0.12%
Double URL Advanced Error-Based SQLi_adv_obf_full_bypass,12,0.12%
obf_double_url_encode+obf_case_random_full_bypass,12,0.12%
Double URL GEOMETRYCOLLECTION Error_adv_obf_full_bypass,12,0.12%
None XSS DOM-based_adv_obf_full_bypass_non_script_xss,12,0.12%
obf_case_random+obf_url_encode+obf_double_url_encode_adv_obf,12,0.12%
Triple URL ST_X Geometry Error_adv_obf_full_bypass,12,0.12%
obf_comment_sql+obf_double_url_encode_adv_obf_full_bypass,12,0.12%
